Group,Column,Company,Column
2014,2013,2014,2013
,"1,851
12,161
32,590
(887)
(1,574)",,
"1,851",,"1,851",
"12,161",,"12,161",
"43,055",,"41,253",
(887),,-,
-,,-,
"56,180","44,141","55,265",
,"753
8,814",,
"1,020",,,
"6,049",,,
"7,069","9,549",,
"63,249","53,690",,
"302,537","208, 849
26%
21%",,
21%,,,
19%,,,
