Performance area,Attainment
Reliability,"• 99% service availability
• 100% BCP coverage with 70% pass rate
• Implementation of IT service management (ITSM) and application performance
monitoring (APM)
• Application uptime
• Disaster recovery (DR) testing at 100%
• High Availability (HA) for all critical systems"
Customer experience,"• Same-day processing of all work at GPC
• Timely resolution of customer complaints
• 70% net promotor score (NPS)
• Process harmonisation across subsidiaries"
Technology acquisition,"• Board approval of framework for technology acquisition
• Acquisition of technology company aligned to Group strategic objectives"
Governance and compliance,"• Maintaining of ISO 20000 and 27000 for Kenya, and ISO 20000 certifications for
Uganda and Rwanda
• PCI DSS and SWIFT compliance certifications"
Cybersecurity,"• Implementation of multi-factor authentication for Windows server access
• In-tune installation on staff personal devices to reduce attack surface
• Rollout of security awareness to all staff"
