Pillar,Program,2022,Cumulative
"Education and
Leadership
Development",Secondary School Scholarships – Wings to Fly and Elimu,"10,000","47,009"
,Wings to Fly scholars qualified to join university,780,"11,771"
,Equity Leaders Program Global Scholars,,761
,Equity Leaders Program Interns,778,"7,482"
,Technical and Vocational Education Training Scholars,192,"3,454"
"Food and
Agriculture",Medium Sized farmers,"42,500","215,512"
,Farmers Impacted,"1,580,000","3,980,000"
Health,Equity Afia out-patient clinics,26,77
,Clients reached through Equity Afia,"597,943","1,299,523"
"Enterprise
Development and
Financial Inclusion","Micro, Small and Medium Enterprises trained","112,131","406,621"
,Financial Inclusion,"92,516","2,411,105"
"Energy, Environment
and Climate Change","Clean Energy products distributed
Trees planted","46,262
12,800,000","375,683
21,800,000"
,Carbon credits,"Reduced carbon emission by
390,000 metric tonnes",
Social Protection,"Number of individuals reached with Social Protection
Programs","1,100,000","4,500,000"
,Value of Disbursements via Cash Transfers,21.7 billion,117 billion
