Column,Group,Column,Bank,Column
Notes,2013,2012,2013,2012
,"177,363","139,981
701
1,368
2,243","157,330",
,"1,266
5,726",,"1,016
5,106",
,"2,255",,"2,067",
,"9,247","4,312","8,189",
,"(4,760)","(3,402)","(4,759)",
,"4,487",910,"3,430",
,,"130,413
5,255",,
,"163,085",,"145,281",
,"5,031",,"3,860",
,"168,116","135,668
(887)","149,141",
,"(1,240)",,(542),
,"166,876","134,781","148,599",
,"171,363","135,691","152,029",
