Group,Column,Bank,Column
2013,2012,2013,201
,"42,652
12,776
4,141
63,642
16,770",,
"48,021",,"43,448",
"13,649",,"13,209",
"5,455",,"5,379",
"81,249",,"66,305",
"28,989",,"28,989",
"177,363","139,981","157,330",
