2009,Column,2009
"12,994",,"10,004"
"63,326",,"59,868"
52,,-
"12,185",,"11,844"
"1,214",,"1,214"
887,,-
"6,442",,"5,193"
31,,4
877,,570
-,,"3,438"
10,,"2,022"
"2,713",,"2,349"
75,,-
6,,6
"100,812","78,879","96,512"
,"50,334
514
94
6,463
1,894",
"69,843",,"65,825"
20,,20
-,,-
"6,487",,"6,114"
"1,554",,"1,215"
"77,904","59,299","73,174"
,"1,851
12,161
(112)
308
(67)
(170)
-
4,498
1,111",
"1,851",,"1,851"
"12,161",,"12,161"
113,,113
449,,337
(67),,-
(201),,-
11,,-
"7,110",,"7,395"
"1,481",,"1,481"
"22,908","19,580","23,338"
"100,812","78,879","96,512"
