Column,Group,Column,Company,Column
Note,2014,2013,2014,2013
,,"19,004
2,182
820
(100)
6
2,402
(201)
(84)
1,325",,
,"22,364",,"21,779",
,"2,562",,"2,049",
,742,,519,
,(28),,6,
,(37),,(26),
,"1,591",,"1,159",
,(242),,,
,(822),,"(1,667)",
,(100),,-,
,"1,435",,"1,369",
,"27,465","25,354","25,188",
,"(44,398)","(38,073)
(3,906)
27,240
(120)
849","150,870",
,"(4,832)",,"9,166",
,"50,430",,"(158,745)",
,(67),,"1,483",
,288,,"(3,127)",
,(46),,4,
,"28,840","11,344","24,839",
,"(6,022)","(8,677)","(5,580)",
,"22,818","2,667","19,259",
,,"(3,482)
(998)
206
-
84
(15,008)
11,565",,
,"(3,399)",,"6,942",
,"(2,149)",,"1,542",
,142,,41,
,,,-,
,100,,,
,"2,780",,"2,780",
,"(16,528)",,"32,949",
,"13,076",,"(44,516)",
,"(5,978)","(7,628)",(262),
,,"(4,629)
1,825
(1,632)
(1,325)",,
,"(5,554)",,"(5,554)",
,"6,533",,"(25,682)",
,"(3,027)",,-,
,"(1,436)",,"(1,369)",
,"(3,484)","(5,761)","(32,505)",
,"13,356","(10,722)","(13,508)",
,334,"116
(1,486)
45,134",(5),
,"(1,179)",,-,
,"34,528",,"21,931",
,"47,039","33,042","8,418",
