Column,Dec 2016,Dec 2017,Growth
Number of agents,"29,561","35,272",19%
Monthly transactions (Millions),5.2,5.5,6%
Monthly value of transactions (KShs Billions),38.2,44.1,15%
Monthly agent commissions (KShs Millions),59.7,69.0,15%
