GDP(BillionUSD),120.3,71.01*,56.45*,80.17*,14.25*
Savingrate,12.9%,10.13%,14.97%,34.3%,13.2%
Adequacylevel,Low,Low,Low,Low,Low
Lifeexpectancy,64,62,68,67,68
Workingpopula on,23.78Mn,38.5Mn,22.8Mn,32.9Mn,5.67Mn
%ofworkforcetopopula on,74.4%,63.6%,69.8%,82.9%,54.1%
Insurancepenetra on,3%,0.5%,0.8%,2.01%,2.1%
