Column,Stage 1,Stage 2,Stage 3,T
,12-month ECL,Lifetime ECL,Lifetime ECL,E
,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ milli
,"4,684","7,778","33,980","46,"
"Transfer to 12 months ECL
Transfer to lifetime ECL not credit impaired
Transfer to lifetime ECL credit impaired
Net remeasurement
Net financial assets originated
Financial assets derecognised
Translation differences",958,(563),(395),
,(768),"1,164",(396),
,(303),(499),802,
,"(1,038)",43,"8,800","7,"
,"3,805",925,"5,124","9,"
,"(1,113)","(1,351)",(915),"(3,3"
,221,22,386,
,"1,762",(259),"13,406","14,"
,-,-,"(11,161)","(11,1"
,"6,446","7,519","36,225","50,"
