US$,GBP,Euro,ZAR,Others,To
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ milli
"12,773",277,"4,644",25,"79,176","96,"
"372,371",75,"2,328",-,"52,092","426,"
"142,296",-,5,-,"29,754","172,"
"31,598",104,"1,681",-,"13,916","47,"
"559,038",456,"8,658",25,"174,938","743,"
"339,821",-,"8,718",1,"126,011","474,"
"133,715",-,-,4,"2,394","136,"
"103,067",32,181,-,"19,989","123,"
"576,603",32,"8,899",5,"148,394","733,"
"(17,565)",424,(241),20,"26,544","9,"
