"2024
Shs’ millions",Column,"2024
Shs’ millions"
"60,741","51,879","21,483"
"24,679","15,564
(8,453)
1,031","6,446"
"(20,374)",,"(6,068)"
"7,612",,793
"11,917","8,142","1,171"
,"102
14,796
(1,319)
-
(9,631)",
"3,948",,(197)
"10,185",,-
(592),,-
-,,123
"(15,871)",,(192)
"(2,330)","3,948",(266)
,"5,036
(1,088)",
619,,-
"(2,949)",,(266)
"(2,330)","3,948",(266)
