"2008
219
6,143
1,617",Column,"2008
219
5,357
1,593"
"7,979","3,155","7,169"
"(34 )
(495 )
(833 )","(3 )
(249 )
(243 )","(23 )
(460 )
(734 )"
"(1,362 )",(495 ),"(1,217 )"
"6,617","2,660","5,952"
"1,624",562,"1,308"
"27
753","99
147","27
707"
780,246,734
"1
3,583","1
2,352","1
3,561"
"3,584","2,353","3,562"
