EBKL,Equity BCDC,EBTL,EBUL,EBRPLC,EBSSL
Shs ‘millions,Shs ‘millions,Shs ‘millions,Shs ‘millions,Shs ‘millions,Shs ‘millions
"846,171","411,779","34,577","60,388","85,700","4,688"
"132,336","48,531","5,767","10,783","16,053","4,817"
"149,222","56,184","5,767","11,377","17,210","4,817"
"841,547","542,164","44,370","98,270","92,683","12,023"
15.64%,11.79%,16.68%,17.61%,18.73%,102.75%
10.50%,7.50%,12.50%,13.20%,10.00%,8.00%
5.14%,4.29%,4.18%,4.41%,8.73%,94.25%
17.63%,13.64%,16.68%,18.58%,20.08%,102.75%
14.50%,10.00%,14.50%,15.20%,15.00%,8.00%
3.13%,3.64%,2.18%,3.38%,5.08%,94.25%
15.73%,8.95%,13.53%,11.21%,17.32%,40.07%
8.00%,8.00%,8.00%,10.00%,8.00%,12.00%
7.73%,0.95%,5.53%,1.21%,9.32%,32.07%
