Board Committee,Members
"i. Governance, Board Nomination and
Staff Remuneration Committee","Mr. Babatunde Soyoye - Chair
Mr. Peter Munga
Mr. Ernest Nzovu
Dr. Helen Gichohi
Dr. James Mwangi"
ii. Audit Committee,"Mr. Benson Wairegi – Chair
Mr. Ernest Nzovu
Mr Babatunde Soyoye"
iii. Risk Management and ALCO Committee,"Prof Shem Migot-Adholla - Chair
Mr. Benson Wairegi
Mr David Ansell
Mr Babatunde Soyoye"
iv. Credit Committee,"Mr David Ansell- Chair
Mr. Fredrick Muchoki – Vice Chair
Mr. Ernst Nzovu
Prof. Shem Migot-Adholla"
