"Less than 3
months","1-5
Years",Totals
Shs’ millions,Shs’ millions,Shs’ millions
"8,818",-,"8,818"
39,-,39
504,-,504
"9,361",-,"9,361"
442,-,442
-,"15,342","15,342"
442,"15,342","15,784"
"8,919","(15,342)","(6,423)"
