"YOU
Brand
WI",Column
,1. Best Overall Bank -11 years running
,2. Best Bank in Tier 1 -8 years running
,"R HEADLINE
3. Best Bank in Sustainable CSR -6 years running"
,4. Best Bank with the Lowest Charge for Individuals -6 years running
,5. Most Customer-Centric Bank –1st Runner Up
,LL SIT HERE
"Franchise
Segment",
,1. Best Bank in Retail Banking
,2. Best Bank in SME Banking
,3. Best Commercial Bank in Microfinance
,4. Best Bank in Agency Banking
,5. Best Bank in Mobile Banking
,6. Best Bank in Corporate Banking –1st Runners Up
,7. Best Bank in Internet Banking –1st Runners Up
,8. Best Bank to Borrow from –2nd Runner Up
,9. Best Bank in Product Innovation –2nd Runner Up
Product,
,1. Best Bank in Trade Finance
,2. Best Bank in Agriculture and Livestock Financing
,3. Best Bank in Product Marketing
,4. Special Judges Award for Product Innovation –Winner
,5. Best Bank in Asset Finance –1st Runners Up
,6. Best Bank in Mortgage Finance –1st Runner Up
Leadership,
,1. CEO of the Year –Dr. James Mwangi -5 years running
,2. Outstanding Young Banker of the Year
,3. Leader in Customer Satisfaction Index (CSI).
