Group,Column,Bank
2012,2011,2012
"2,350","1,758
1,319
347
327
(1,365)
(36)","2,287"
"1,317",,"1,200"
373,,290
410,,380
(79),,-
(82),,(34)
"4,289","2,350","4,123"
