Assets,1.3,0.9,3.8,34.4,40.4,"2,106.2","1,971.0",1.9%
YoY Growth,6%,21%,61%,37%,37%,5%,9%,0.5%
"Revenue
YoY Growth","1.0
-4%","0.5
61%","1.9
-2%","3.1
56%","6.5
23%","219.5
14%","217.7
12%","2.9%
0.2%"
Operating Costs,0.5,0.3,1.5,1.1,3.4,114.4,111.1,2.9%
YoY Growth,7%,76%,-8%,112%,22%,0%,-2%,0.5%
PBT,0.6,0.2,0.3,2.0,3.1,90.7,92.1,3.3%
YoY Growth,-12%,41%,36%,37%,25%,56%,52%,-0.8%
PAT,0.4,0.1,0.2,1.4,2.1,75.5,75.5,2.7%
YoY Growth,-4%,36%,37%,36%,27%,58%,55%,-0.8%
RoAE,47.4%,21.7%,18.5%,40.9%,36.6%,27.1%,26.7%,
RoAA,23.4%,15.4%,8.3%,4.6%,5.8%,3.9%,4.2%,
