Central Banks Guidelines,Days past due,Internal grading,Stage allocation
Normal,(cid:19)-(cid:22)(cid:19),1,1
Watch,(cid:22)(cid:20)-(cid:28)(cid:19),2,2
Substandard,(cid:28)(cid:20)-(cid:20)(cid:27)(cid:19),3,3
Doubtful,(cid:20)(cid:27)(cid:20) - (cid:22)(cid:25)(cid:24),4,3
Loss,Over 365 or considered uncollectible,5,3
