Equity Bank (Kenya) Limited,Column,Column,Equity Group Holdings Limited,Column,Column,Column,Column
BANK,,,COMPANY,,,GROUP,
"31st Mar 31st Dec
2016 2016
Shs. '000' Shs. '000'
(Un-Audited) (Audited)
7,782,967 4,840,798
16,174,119 11,537,111
- -
- -
41,554,630 93,097,439
26,626,659 21,655,268
24,423,669 19,452,277
2,202,991 2,202,991
14,927,971 71,442,171
14,927,971 71,442,171
- -
1,167,775 5,000,000
11,636,972 20,767,981
- -
229,474,440 213,805,548
9,970,843 3,369,966
- -
- -
- -
8,494 8,494
8,392,203 7,334,622
3,987 3,953
3,965,742 5,606,711
2,783,284 2,938,970
- -
14,644,449 11,437,403","31st Mar
2017","31st Mar
31st Dec 2016
2016
Shs. '000' Shs. '000'
(Un-Audited) (Audited)
- 8,012,137
- -
- -
- -
- -
- -
- -
- -
- -
- -
- -
6,981,092 -
- -
- 7,807
- -
342,554 704,110
- -
59,345,161 64,721,117
- -
- -
- -
- -
- -
- -
- -
50,005 1,074",,"31st Mar
2017","31st Mar 31st Dec
2016 2016
Shs. '000' Shs. '000'
(Un-Audited) (Audited)
8,051,739 11,854,456
16,174,119 11,537,111
- -
- -
62,385,083 100,588,954
46,057,125 26,291,502
24,423,669 19,452,277
21,633,457 6,839,225
16,327,957 74,297,451
15,251,993 71,442,171
1,075,965 2,855,280
9,579,862 5,316,369
14,477,482 35,738,191
116,641 150,494
275,017,411 266,068,089
307,027 382,615
- -
- -
- -
8,494 8,494
13,857,056 13,754,329
97,184 114,898
4,435,911 6,406,911
3,004,822 3,260,243
- -
22,674,363 18,531,981",,"31st Mar
2017"
,Shs. '000',,,Shs. '000',,,Shs. '000'
,(Un-Audited),,,(Un-Audited),,,(Un-Audited)
,"7,478,172",,,"8,090,385",,,"15,926,537"
,"14,744,284",,,-,,,"14,744,284"
,-,,,-,,,-
,-,,,-,,,-
,"105,406,210",,,-,,,"112,988,818"
,"19,747,214",,,-,,,"22,142,487"
,"17,544,224",,,-,,,"17,544,224"
,"2,202,991",,,-,,,"4,598,264"
,"85,658,995",,,-,,,"90,846,331"
,"85,658,995",,,-,,,"85,658,995"
,-,,,-,,,"5,187,336"
,"2,800,000",,,-,,,"3,231,033"
,"23,499,047",,,-,,,"38,791,085"
,-,,,"7,807",,,"119,698"
,"208,356,659",,,-,,,"261,899,197"
,"3,335,342",,,"613,125",,,"480,428"
,"-
-",,,"-
64,721,117",,,"-
-"
,"-
8,494",,,"-
-",,,"-
8,494"
,"7,044,139",,,-,,,"13,345,923"
,"3,941",,,-,,,"87,219"
,"5,547,427",,,-,,,"6,316,484"
,"2,938,970",,,-,,,"3,241,681"
,-,,,-,,,-
,"12,700,961",,,"153,622",,,"20,972,586"
"347,559,904 379,748,996","393,863,646","66,718,812 73,446,245",,"73,586,056","430,187,193 473,713,133",,"492,153,465"
"- -
243,260,863 277,274,668
946,290 5,193
- -
6,176,128 -
37,216,045 43,726,761
- -
1,702,326 313,642
- -
- -
- -
6,132,278 6,087,692",,"- -
- -
- -
- -
- -
- -
2,478,425 2,558,355
141,309 -
4,638,210 -
- -
- -
11,080 748",,,"- -
299,219,415 337,198,618
1,118,210 5,193
- -
6,176,128 198,920
39,871,970 45,770,072
- -
2,201,317 506,774
4,638,210 -
57,411 177,522
- -
7,788,612 7,878,937",,
,-,,,-,,,-
,"288,006,775",,,-,,,"347,514,400"
,-,,,-,,,"1,765,208"
,-,,,-,,,"2,414"
,-,,,-,,,"1,313,655"
,"42,679,794",,,-,,,"44,480,018"
,-,,,"2,584,265",,,-
,"2,073,020",,,-,,,"2,397,632"
,-,,,"7,547,350",,,"7,547,350"
,-,,,-,,,"155,838"
,-,,,-,,,-
,"4,837,009",,,748,,,"7,537,612"
"295,433,929 327,407,956","337,596,599","7,269,024 2,559,103",,"10,132,363","361,071,272 391,736,037",,"412,714,127"
"30,000,000 30,000,000
9,964,132 9,964,132
(1,440,225) (785,889)
12,352,706 11,284,120
1,249,363 1,878,677
- -
- -
- -",,"1,886,837 1,886,837
16,062,607 16,062,607
- -
41,500,344 45,390,349
- -
- -
- 7,547,350
- -",,,"1,886,837 1,886,837
16,062,607 16,062,607
(8,446,525) (7,051,002)
57,349,181 60,550,117
1,615,305 2,280,654
- -
- 7,547,350
648,517 700,533",,
,"30,000,000
9,964,132",,,"1,886,837
16,062,607",,,"1,886,837
16,062,607"
,"(965,096)",,,-,,,"(6,891,531)"
,"15,389,335",,,"45,504,249",,,"65,382,778"
,"1,878,677",,,-,,,"2,280,654"
,-,,,-,,,-
,-,,,-,,,-
,-,,,-,,,"717,994"
"52,125,975 52,341,039","56,267,047","59,449,789 70,887,143",,"63,453,693","69,115,922 81,977,096",,"79,439,339"
