Column,latoT,Column,’shS snoillim,"020,02","498,1",-,-,-,"621,1","738,11",")530,3(",012,"250,23","651,1",24,-,-,-,049,"955,3",)712(,-,)82(,"254,5","006,62"
"scitsigol
dna
tropsnarT","3
egatS",emitefiL LCE,’shS snoillim,"659,2",34,)78(,)75(,891,)953(,"478,4",)748(,82,"947,6",958,73,)1(,)3(,61,965,"183,3",)04(,-,21,"038,4","919,1"
,"2
egatS",emitefiL LCE,’shS snoillim,636,4,)412(,"759,3",)29(,541,"624,1",)243(,8,"825,5",34,-,)01(,48,)7(,543,77,)38(,-,-,944,"970,5"
,"1
egatS",htnom-21 LCE,’shS snoillim,"824,61","748,1",103,")009,3(",)601(,"043,1","735,5",")648,1(",471,"577,91",452,5,11,)18(,)9(,62,101,)49(,-,)04(,371,"206,91"
,latoT,,’shS snoillim,"659,38","109,5",-,-,-,")989,5(","283,64",")077,02(",878,"853,011","344,4",592,-,-,-,"503,1","380,1",)498(,)34(,)821(,"160,6","792,401"
edarT,"3
egatS",emitefiL LCE,’shS snoillim,"517,8",552,)351(,)002(,"150,2",)647(,"220,3",")748,3(",29,"981,9","831,3",812,)51(,)52(,341,"531,1",483,)465(,)34(,84,"914,4","077,4"
,"2
egatS",emitefiL LCE,’shS snoillim,"506,3","682,1",")005,1(","980,8",)586(,)816(,"640,3",")072,1(",33,"689,11",742,03,)04(,321,)45(,272,422,)47(,-,-,827,"852,11"
,"1
egatS",htnom-21 LCE,’shS snoillim,"636,17","063,4","356,1",")988,7(",")663,1(",")526,4(","413,04",")356,51(",357,"381,98","850,1",74,55,)89(,)98(,)201(,574,)652(,-,)671(,419,"962,88"
,latoT,,’shS snoillim,"523,91",1,-,-,-,"008,1","317,7",")117,3(",191,"913,52","141,1",-,-,-,-,986,096,)072(,-,)22(,"822,2","190,32"
"ytilatipsoh
dna
msiruoT","3
egatS",emitefiL LCE,’shS snoillim,073,-,)4(,-,682,7,378,)17(,4,"564,1",78,-,)1(,-,21,621,011,)7(,-,1,823,"731,1"
,"2
egatS",emitefiL LCE,’shS snoillim,"121,9",-,)21(,"163,1",)28(,"949,1","733,3",")007,1(",38,"750,41",959,-,-,03,)3(,145,825,)842(,-,)7(,"008,1","752,21"
,"1
egatS",htnom-21 LCE,’shS snoillim,"438,9",1,61,")163,1(",)402(,)651(,"305,3",")049,1(",401,"797,9",59,-,1,)03(,)9(,22,25,)51(,-,)61(,001,"796,9"
