Group,Column,Bank
2012,2011,2012
,"84
16,560
2,695",
192,,258
"27,531",,"25,390"
"3,125",,"2,849"
"30,848","19,339","28,497"
,"(201)
(2,152)
(763)",
(196),,(141)
"(5,214)",,"(4,736)"
"(1,474)",,"(1,508)"
"(6,884)","(3,116)","(6,385)"
"23,964","16,223","22,112"
