latoT,Column,"snoillim
’shS","326,101",-,-,-,")453,6(","059,91",")922,8(",)441(,"648,601","116,6",-,-,-,"111,2",253,725,")070,2(",101,"236,7","412,99"
"3
egatS",emitefiL LCE,"snoillim
’shS","377,8",)181(,)365(,"499,1",)327(,782,")088,1(",86,"577,7","141,5",)88(,)38(,36,"094,1",15,026,")070,2(",651,"082,5","594,2"
"2
egatS",emitefiL LCE,"snoillim
’shS","806,31",")327,1(","968,61",")252,1(",06,"533,1",)795(,)328(,"774,72","340,1",)65(,102,)45(,677,44,)56(,-,)121(,"867,1","907,52"
"1
egatS",htnom-21 LCE,"snoillim
’shS","242,97","409,1",")603,61(",)247(,")196,5(","823,81",")257,5(",116,"495,17",724,441,)811(,)9(,)551(,752,)82(,-,66,485,"010,17"
latoT,,"snoillim
’shS","221,241",-,-,-,")723,71(","569,301",")480,05(",698,"275,971","463,3",-,-,-,"750,2","004,2",)62(,")576,2(",801,"822,5","443,471"
"3
egatS",emitefiL LCE,"snoillim
’shS","955,4",)242(,)631(,"663,2",)791(,"009,1",")173,2(",901,"889,5","131,2",)55(,)29(,071,"090,2","010,1",804,")576,2(",461,"151,3","738,2"
"2
egatS",emitefiL LCE,"snoillim
’shS","707,2",")460,1(","866,2",)435(,)114(,"736,2",")400,1(",452,"352,5",802,)45(,021,)25(,7,341,)46(,-,11,913,"439,4"
"1
egatS",htnom-21 LCE,"snoillim
’shS","658,431","603,1",")235,2(",")238,1(",")917,61(","824,99",")907,64(",335,"133,861","520,1",901,)82(,)811(,)04(,"742,1",)073(,-,)76(,"857,1","375,661"
latoT,,"snoillim
’shS","446,42",-,-,-,")083,2(","816,11",")787,2(",001,"591,13",293,-,-,-,7,96,)45(,)83(,)1(,573,"028,03"
"3
egatS",emitefiL LCE,"snoillim
’shS",65,-,-,"116,1",1,821,)55(,5,"647,1",15,-,-,01,2,26,)35(,)83(,5,93,"707,1"
"2
egatS",emitefiL LCE,"snoillim
’shS","305,3",-,-,)792(,"650,1",5,)2(,52,"092,4",323,-,-,)9(,2,-,-,-,1,713,"379,3"
"1
egatS",htnom-21 LCE,"snoillim
’shS","580,12",-,-,")413,1(",")734,3(","584,11",")037,2(",07,"951,52",81,-,-,)1(,3,7,)1(,-,)7(,91,"041,52"
