BUSINESS MODEL,KEY FEATURES,CATEGORY
Held to collect,"The objective of the business model is to hold assets to
collect contractual cash flows.
Sales are incidental to the objective of the model.
This model typically involves the lowest level of sales in
comparison with other business models (in frequency
and volume).",Amortised cost (1)
Both held to collect and for sale,"Both collecting contractual cash flows and sales are
integral to achieving the objective of the business
model.
This model typically has more sales (in frequency and
volume) than the held-to-collect business model.",FVTPL (1)
"Other business models, including:
Trading, managing assets on a fair
value basis and maximising cash
flows through sale","The business model is neither held-to-collect nor
held to collect and for sale.
The collection of contractual cash flows is incidental
to the objective of the model.",FVTPL (2)
