US$,GBP,Euro,ZAR,Others,Total
"Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions"
"175,571",545,"4,440",77,"1,429","182,062"
"216,242",91,778,-,-,"217,111"
"16,097",-,-,-,"2,187","18,284"
"11,356",81,299,-,51,"11,787"
"419,266",717,"5,517",77,"3,667","429,244"
"263,388",851,"6,792",3,"1,351","272,385"
"82,590",-,17,-,752,"83,359"
"53,486",25,223,7,5,"53,746"
"399,464",876,"7,032",10,"2,108","409,490"
"19,802",(159),"(1,515)",67,"1,559","19,754"
