At 31 December 2015,Column,Column,Column,Column,Column,Column,Column
Total asset,"328,866","18,846","19,474","12,691","20,772","27,414","428,063"
Total liabilities,"267,866","16,959","18,600","9,985","18,116","24,400","355,926"
Net Interest Income,"29,687","1,246",799,959,937,495,"34,123"
Total operating income,"42,599","2,515","3,219","1,733","1,892","4,097","56,055"
Depreciation and amortization,"3,465",138,224,128,108,64,"4,127"
"Additions to property and
equipment","4,147",70,8,119,317,12,"4,673"
Additions to intangible assets,"2,213",13,-,6,17,9,"2,258"
"Total expenses including
impairment of financial assets","14,425","1,824","2,360","11,617","1,137",734,"32,097"
Profit before tax,"22,431",258,382,292,401,194,"23,958"
