Group,Column,Bank
2012,2011,2012
,"35,282
113,824
1
30,502
124
5,038
53
1,366
-
7,592
29
1,352
887
244",
"45,134",,"35,467"
"135,692",,"122,410"
-,,-
"41,101",,"32,792"
2,,983
"7,243",,"6,459"
55,,-
"1,457",,"1,113"
-,,"8,204"
"9,072",,"6,530"
292,,4
"1,415",,"1,123"
887,,-
820,,744
"243,170","196,294","215,829"
,"144,165
487
2,565
14,792
-",
"167,913",,"142,386"
"2,365",,"2,258"
"3,369",,"2,759"
"26,569",,"25,755"
38,,-
"200,254","162,009","173,158"
,"1,851
12,161
17,719
(1,062)
521
(529)
34
(113)
3,703",
"1,851",,"1,851"
"12,161",,"12,161"
"25,088",,"24,308"
(732),,(732)
603,,454
(603),,-
32,,-
(113),,-
"4,629",,"4,629"
"42,916","34,285","42,671"
"243,170","196,294","215,829"
