Group,Column,Bank
2011,2010,2011
"6,057","5,920
8,271
55,284","5,894"
"33,209",,"28,796"
"72,629",,"66,633"
"111,895","69,475","101,323"
,"13,426
15,759
5,771",
"19,208",,"16,791"
"10,120",,"4,436"
"2,942",,"2,942"
"32,270","34,956","24,169"
"144,165","104,431","125,492"
