Column,Some measures taken by countries in the region
Kenya,"• Nationwide curfew and restrictions on travel to most affected areas.
• Allocated 0.4% of GDP for health, social protection and cash transfers.
• Tax measures designed to increase cash in the economy.
• Central Bank released additional liquidity, encouraged flexibility with borrowers and
reduced banking fees.
• Adopted containment measures including banning all public gatherings (except for houses
of worship)."
Ethiopia,"• State of emergency declared in August 2020 and elections postponed.
• Travel restrictions and restrictions on layoffs.
• Allocated 0.15% of GDP for health spending and announced additional 1.6% of GDP stimulus
package.
• Additional measures for enterprises and citizen support under discussion with donors and
multi-lateral institutions."
Uganda,"• Full lockdown in effect in April/May 2020, with travel restrictions into Uganda.
• House-to-house food distribution drive to the vulnerable in Kampala.
• Increased health spending and announced a package of measures to mitigate the social and
economic impact of the pandemic.
• Bank of Uganda reduced the central bank rate; put measures in place to support the financial
and private sector and foreign exchange market intervention."
Rwanda,"• Full lockdown in effect until August 2020 reopening to international travel.
• Government distributed food and other essentials to all vulnerable citizens.
• Tax relief measures including softening of arrears collections.
• Banking liquidity support measures and relaxing of loan repayment conditions for impacted
borrowers."
DRC,"• State of emergency declared.
• Exemption or suspension of a wide range of taxes, duties, levies and fees.
• Prohibition of any mass employee dismissals based on lockdown measures.
• Creation of a fund to support spending measures relating to the crisis."
