Column,"EQUITY BANK (KENYA)
LIMITED",Column,EQUITY GROUP HOLDINGS PLC,Column,Column,Column
,BANK,,COMPANY,,GROUP,
"III. OTHER DISCLOSURES
1) NON-PERFORMING LOANS AND ADVANCES
a) Gross non performing loans and advances
b) Less interest in suspense","31 Dec 2025
Shs. ‘000’
(Audited)","31 Dec 2024
Shs. ‘000’
(Audited)
92,985,027
21,483,288","31 Dec 2025
Shs. ‘000’
(Audited)","31 Dec 2024
Shs. ‘000’
(Audited)
-
-","31 Dec 2025
Shs. ‘000’
(Audited)","31 Dec 2024
Shs. ‘000’
(Audited)
121,997,045
26,039,630"
,"84,695,926",,-,,"110,096,968",
,"21,556,126",,-,,"25,795,534",
c) Total non-performing loans and advances (a-b),"63,139,800","71,501,739",-,-,"84,301,434","95,957,415"
"d) Less loan loss provision
e) Net non- performing loans (c-d)
f) Discounted value of securities
g) Net NPLs exposure (e-f)
2) INSIDER LOANS AND ADVANCES
a) Directors, shareholders and associates
b) Employees","31,486,542","35,044,570
36,457,169
35,686,338
770,830
6,642,766
9,158,521",-,"-
-
-
-
-
-","47,754,923","51,661,585
44,295,830
43,525,000
770,830
8,317,725
19,089,037"
,"31,653,258",,-,,"36,546,511",
,"27,773,749",,-,,"32,667,002",
,"3,879,509",,-,,"3,879,509",
,"5,861,604",,-,,"9,250,730",
,"9,231,782",,-,,"20,517,498",
"Total insider loans and advances and other
c)
facilities","15,093,386","15,801,287",-,-,"29,768,228","27,406,762"
"3) OFF BALANCE SHEET ITEMS
a) Letter of credit, guarantees and acceptances
b) Forwards,swaps and options
c) Other contingent liabilities",,"75,275,933
2,667,361
-",,"-
-
-",,"133,158,381
53,911,356
-"
,"132,320,101",,-,,"267,096,928",
,"4,818,592",,-,,"12,042,578",
,-,,-,,-,
d) Total contingent liabilities,"137,138,693","77,943,294",-,-,"279,139,506","187,069,737"
"4) CAPITAL STRENGTH
a) Core capital
b) Minimum statutory capital
c) Excess / (deficiency)
d) Supplementary capital",,"132,336,448
1,000,000
131,336,448
16,885,716",,"-
-
-
-",,"251,503,364
1,000,000
250,503,364
25,200,447"
,"122,173,989",,-,,"298,286,720",
,"3,000,000",,-,,"3,000,000",
,"119,173,989",,-,,"295,286,720",
,"17,796,054",,-,,"22,898,721",
e) Total capital (a+d),"139,970,043","149,222,164",-,-,"321,185,441","276,703,812"
f) Total risk weighted assets,"850,486,505","846,170,962",-,-,"1,564,832,050","1,453,481,084"
"5) RATIOS
g) Core capital / total deposit liabilities
h) Minimum statutory ratio
i) Excess / (deficiency) (g-h)
j) Core capital / total risk weighted assets
k) Minimum statutory ratio
l) Excess / (deficiency) (j-k)",,"15.7%
8.0%
7.7%
15.6%
10.5%
5.1%",,"-
-
-
-
-
-",,"18.0%
8.0%
10.0%
17.3%
10.5%
6.8%"
,14.4%,,-,,20.5%,
,8.0%,,-,,8.0%,
,6.4%,,-,,12.5%,
,14.4%,,-,,19.1%,
,10.5%,,-,,10.5%,
,3.9%,,-,,8.6%,
m) Total capital / total risk weighted assets,16.5%,17.6%,-,-,20.5%,19.0%
"n) Minimum statutory ratio
o) Excess / (deficiency) (m-n)
6) LIQUIDITY
a) Liquidity ratio
b) Minimum statutory ratio
c) Excess / (deficiency) (a-b)",14.5%,"14.5%
3.1%
79.7%
20.0%
59.7%",-,"-
-
-
-
-",14.5%,"14.5%
4.5%
57.4%
20.0%
37.4%"
,2.0%,,-,,6.0%,
,77.3%,,-,,64.7%,
,20.0%,,-,,20.0%,
,57.3%,,-,,44.7%,
