UN SDG,Equity’s Contribution
,"SDG 9: Industry, Innovation and Infrastructure
Investment in infrastructure and innovation are crucial drivers of economic growth and development.
Kenya’s unprecedented urban growth is attributable two main factors: natural population growth and
rural-urban migration due to factors like drought, conflict and rural poverty. It is projected that the
country’s urban population will continue to grow, reaching 31.7 million (56%) by 2027.
Equity has led the way in breakthrough technology and innovation becoming the leading digital bank in the
region. Already, 98% of our transactions are outside the branch, with 87% taking place online.
The Group has received Development Finance Institutions (DFIs) loans from The African Development Bank
(AFDB), European Investment Bank (EIB), International Finance Corporation (IFC) etc. for onward lending to
support MSME, SME and Corporate sectors at the core of manufacturing and industrialization."
,"SDG 10: Reduced Inequalities
Unemployment rate in Kenya increased to 10.4% in the second quarter of 2020 from 5.2% in the first quarter
of 2020 (Kenya National Bureau of Statistics (KNBS) 2019/2020 Labour Force Basic Report). The highest
proportion of the unemployed was recorded in the age groups 20-24 and 25-29, each registering over 20%.
The same age groups also had the highest increase of over 10% each in unemployment over the 3 months
reference period according to KNBS.
Equity is committed to identifying and understanding strategies that can bridge the ongoing education-
to-employment gap prevalent among youth in Kenya. Failure to ensure that young people are adequately
prepared to enter the workforce and succeed in the workplace, jeopardizes the investments that
governments and development partners make in primary and secondary education resulting in a low or
lack of return on investment.
EGF targets youth and avails them opportunities for technical skills training in TVET institutions while
complementing with financial, entrepreneurial and in relevant cases agribusiness training. Coupled
with the technical training, youths are equipped with skills that enhance their employability i.e. life skills,
agribusiness, financial and entrepreneurship education to support and encourage adoption of multiple
career pathways. To date, 3,033 youths had an opportunity to acquire a technical and vocational skill."
,"SDG 11: Sustainable Cities and Communities
Like other developing countries, Kenya is facing challenges occasioned by rapid urbanization. In 2019,
27.5% of Kenya’s total population lived in urban areas and cities.
Equity works with Government to improve living conditions through the provision of microfinance loans for
sustainable mortgages/real estate sector as well support the provision of prepaid card solutions for urban
mass transport."
,"SDG 12: Responsible Consumption and Production
A key tenet of this goal is to support the attainment of economic growth and sustainable development while
reducing our ecological footprint.
It is for this reason that Equity has adopted ICT to reduce energy use as well as material consumption
through its Tier 4 Green Data Centre.
In 2015, MicroEnergy Credits signed an Emission Reduction Purchase Agreement (ERPA) with the Swedish
Energy Agency to support Equity energy and environment program. This ERPA generates additional
revenue for the program, which is reinvested back into the clean energy initiative. Equity Bank also
partnered with development organizations for a results-based financing programme (RBF), proceeds of
which are reinvested in the clean energy agenda."
