Group,Column,Bank
2012,2011,2012
,"19,339
(3,116)",
"30,848",,"28,497"
"(6,884)",,"(6,385)"
"23,964","16,223
2,349","22,112"
"2,301",,"1,809"
"2,301","2,349","1,809"
,"2,423
7,675",
"2,090",,821
"8,472",,"7,133"
"36,827","28,670","31,875"
,"(1,630)",
"(1,608)",,"(1,456)"
"35,219","27,040
(6,009)
(919)
(1,745)
(5,688)","30,419"
"(7,172)",,"(5,905)"
"(1,213)",,(847)
"(2,316)",,"(2,018)"
"(7,269)",,"(5,589)"
"(17,970)","(14,361)","(14,359)"
,"12,679
155",
"17,249",,"16,060"
171,,-
"17,420","12,834
(2,509)","16,060"
"(5,340)",,"(5,063)"
"12,080","10,325","10,997"
"12,080","10,325","10,997"
3.26,2.79,2.97
