Benefits provided,DRC,Kenya,Rwanda,"South
Sudan",Tanzania,Uganda
Competitive Remuneration,,,,,,
Parental leave*,,,,,,
Medical and Family leave*,,,,,,
Medical Aid*,,,,,,
Pension*,,,,,,
Work Injury Benefits,,,,,,
Wellness Programme,,,,,,
Work from home options,,,,,,
Preferential lending rates,,,,,,
Group Life Assurance,,,,,,
Critical Illness,,,,,,
