UNAUDITED FINANCIAL STATEMENTS AND OTHER DISCLOSURES,EQUITY BANK (KENYA) LIMITED,Column,EQUITY GROUP HOLDINGS PLC,Column,Column,Column
,BANK,,COMPANY,,GROUP,
,"30th June 31st Dec 31st Mar
2019 2019 2020
Shs. ‘000’ Shs. ‘000’ Shs. ‘000’
(Unaudited) (Audited) (Unaudited)
8,462,848 10,294,829 10,691,593
25,190,039 22,299,710 15,375,969
- - -
- - -
167,028,154 154,964,387 173,241,943
16,175,371 15,798,028 15,813,900
15,564,544 15,183,690 15,196,620
610,827 614,338 617,280
150,852,783 139,166,359 157,428,043
130,381,996 123,389,271 142,385,141
20,470,787 15,777,088 15,042,902
6,114,400 4,000,974 2,579,500
5,160,404 6,800,293 8,793,030
- - -
240,595,173 276,863,043 284,234,137
869,192 925,602 4,688,379
- - -
- - -
- - -
- - -
4,368,972 5,725,566 5,727,060
12,122 - -
6,539,528 6,191,571 6,708,922
4,925,505 5,064,277 6,016,906
- - -
13,443,084 14,394,985 12,628,819",30th June,"30th June 31st Dec 31st Mar
2019 2019 2020
Shs. ‘000’ Shs. ‘000’ Shs. ‘000’
(Unaudited) (Audited) (Unaudited)
286,588 12,693,971 13,056,741
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
41,612 36,935 -
- - -
94,912 60,535 92,861
- - -
66,786,117 66,786,117 70,193,742
- - -
- - -
- 12,455 12,516
- - -
- - -
82,996 84,481 84,481
- - -
193,384 159,065 155,239",30th June,"30th June 31st Dec 31st Mar
2019 2019 2020
Shs. ‘000’ Shs. ‘000’ Shs. ‘000’
(Unaudited) (Audited) (Unaudited)
20,329,565 25,499,983 24,702,503
25,190,039 22,299,710 15,375,969
- - -
- - -
179,619,474 172,208,187 189,878,441
20,187,941 21,572,268 18,660,039
15,564,544 15,183,690 15,196,620
4,623,397 6,388,578 3,463,419
159,431,533 150,635,919 171,218,402
130,381,996 123,389,271 142,385,141
29,049,537 27,246,648 28,833,261
11,507,782 7,202,000 15,472,363
33,705,430 31,432,500 19,616,267
152,696 152,328 115,701
320,886,253 366,440,456 379,215,389
- 19,100 -
- - -
- - -
- - -
- - -
10,170,021 11,030,843 11,374,618
81,393 - -
7,072,187 7,244,414 7,713,921
6,080,189 6,491,884 7,469,869
- - -
23,867,546 23,661,136 22,250,654",30th June
,,2020,,2020,,2020
,,Shs. ‘000’,,Shs. ‘000’,,Shs. ‘000’
,,(Unaudited),,(Unaudited),,(Unaudited)
,,"8,345,301",,"9,619,088",,"26,188,046"
,,"15,865,945",,-,,"15,865,945"
,,-,,-,,-
,,-,,-,,-
,,"198,148,184",,-,,"216,385,915"
