UN SDG,Equity’s Contribution
,"SDG 2: Zero Hunger
In 2020, Kenya’s economy was hit hard through supply and demand shocks on external and domestic fronts,
interrupting its recent broad-based growth path. Apart from the COVID-19 (coronavirus) pandemic, the
locust attack which started early 2020, has affected many parts of Kenya especially the North East. It has
had a negative impact on food security and growth of the agriculture sector in the country. Real gross
domestic product (GDP) growth is projected to decelerate from an annual average of 5.7% (2015-2019) to
1.5% in 2020.
With this in mind, Equity has continued to give agriculture a high priority. Through its Value Chain Agriculture
Financing Model, Equity has disbursed Shs 7.9 Billion to 79,000 farmers through the Kilimo Biashara loan
product.
Through Equity Insurance, the Group has continued to offer weather and Index Based Livestock Insurance.
Equity partnered with the Government of Kenya and IFAD to provide agricultural subsidies through the
Kenya Cereals Enhancement Program that supports 40,000 smallholder farmers to increase productivity
and profitability through the adoption of value-added agricultural practices.
Additionally, through a program funded by the Embassy of the Kingdom of the Netherlands that has now
been scaled up with support from the Norwegian Agency for Development (NoRAD), we have supported
39,589 small and medium scale farmers to increase agriculture production and incomes in key food crops
across various regions in Kenya."
,"SDG 3: Good Health and Well-Being
The Human Development Index (HDI) by UNDP is a summary measure for assessing long-term progress in
three basic dimensions: a long and healthy life (measured by life expectancy), access to knowledge (mean
years of education and expected years of schooling) and a decent standard of living (Gross National Income
per capita). Kenya’s HDI value for 2019 is 0.601— which put the country in the medium human development
category—positioning it at 143 out of 189 countries and territories. Between 1990 and 2019, Kenya’s HDI
value increased from 0.482 to 0.601, an increase of 24.7%.
At Equity, we believe that by improving access to high quality and standardized health care, we will enhance
quality of life and contribute to a healthier future. Through Equity Afia, we are implementing a sustainable,
integrated health model that oversees a network of clinician entrepreneurs to provide standardized, quality
healthcare throughout the country. To date, Equity Afia operates 33 outpatient facilities that have provided
305,560 cumulative patient visits.
Through Equity Insurance, the Group continues to offer a medical insurance product targeting 20 million
Kenyans."
,"SDG 4: Quality Education
Introduction of Free Primary Education in Kenya saw Grade 1 enrolment rise from 0.969 million in 2002 to
1.312 million in 2003, an increase of 35%. Increased enrolment rates coupled with high costs prohibited
children from vulnerable backgrounds from accessing secondary education.
Thus, Wings to Fly was established to support secondary education for top performing children from
financially challenged backgrounds in all counties across Kenya thus availing access to leadership training
to previously marginalized children. The program, with support from Mastercard Foundation among
others, offers comprehensive support for the scholars through provision of tuition fees, accommodation,
books, uniform, shopping, pocket money and transport to and from school during their 4 years of secondary
education. Additionally, with the support of Ministry of Education/World Bank, the Elimu Scholarship
program was mooted to support two cohorts of 18,000 secondary scholarships.
By the end of 2020, the number of secondary school scholars rose to 26,304. Out of these, 11,928 have
already completed their KCSE. Further, of the scholars who have completed secondary education, 9,581
have qualified for university entry with 633 securing admissions to global universities and the rest joining
universities in Kenya.
Through Equity Bank, the Group provides parents and education institutions with loans to support access
to education as well as infrastructure development."
