"2024
Shs’ millions",Column,"2024
Shs’ millions"
"112,549","102,263
2,325
8,222
12,351
39,053",-
"5,762",,"1,389"
"10,559",,-
"42,599",,-
"13,875",,-
"185,344","164,214","1,389"
,"(4,396)
(33,442)
(12,512)
(841)",
"(4,098)",,-
"(46,737)",,-
"(9,769)",,"(1,416)"
(971),,-
"(61,575)","(51,191)","(1,416)"
"123,769","113,023",(27)
