Group,Column,Company,Column
2019,2018,2019,2018
"Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions"
"31,478","28,463","12,330",
"9,443","8,539
12
(162)
250","3,699",
61,,-,
(228),,(2),
(359),,"(3,630)",
"8,917","8,639",67,
,"(1,782)
8,058
(162)
162
(6,723)",,
(447),,(11),
"10,233",,71,
(228),,(2),
705,,-,
"(8,487)",,(95),
"1,776",(447),(37),
,"185
(632)",,
"1,928",,-,
(152),,(37),
"1,776",(447),(37),
