Group,Column,Bank,Column
2013,2012,2013,201
,"30,848
(6,884)",,
"31,890",,"28,310",
"(5,399)",,"(4,620)",
"26,491","23,964
2,301","23,690",
"2,992",,"2,291",
"2,992","2,301","2,291",
,"2,090
8,472",,
"1,932",,964,
"10,446",,"8,793",
"41,861","36,827","35,738",
,"(1,608)",,
"(2,402)",,"(1,836)",
"39,459","35,219
(7,172)
(1,213)
(2,316)
(7,269)","33,902",
"(9,043)",,"(7,405)",
"(1,319)",,(839),
"(2,526)",,"(2,100)",
"(7,768)",,"(5,325)",
"(20,656)","(17,970)","(15,669)",
,"17,249
171",,
"18,803",,"18,233",
201,,-,
,"17,420
(5,340)",,
"19,004",,"18,233",
"(5,726)",,"(5,591)",
"13,278","12,080","12,642",
"13,278","12,080","12,642",
3.59,3.26,3.41,
