Pillar,Program,2018,Cumulative
"Education & Leadership
Development",Wings to Fly Scholars,"1,000","16,168"
,"Wings to Fly Scholars Qualified
to Join University","1,421","8,062"
,Equity Leaders Program Global Scholars,102,489
,Equity Leaders Program Interns,532,"5,963"
,"Technical and Vocational
Education Training Scholars","2,551","3,033"
Agriculture,Medium Sized Farmers,"28,675","31,291"
,Smallholder Farmers,"38,552","638,522"
Health,Equity Afia Out-patient Clinics,0,5
,Clients Reached through Equity Afia,"34,246","43,155"
"Entrepreneurship and
Financial Education","Small and Medium Enterprises Trained
[Norfund]","6,661","42,827"
,General Financial Education [FiKA],"180,743","1,732,469"
Energy and Environment,"Households reached with Ecomoto Clean
Energy Products","20,179","77,117"
,Amount of Charcoal Saved [Tonnes],"1,315","5,025"
,Number of Trees Saved,"7,891","30,185"
,Amount of Kerosene Saved [Litres Millions],103.1,394
,Reduction in Carbon Emissions [CO2te],"32,690","124,930"
,Value of Charcoal Saved [Shs. Millions],92.1,351.8
,"Value Reduction in Household
Fuel Budget [Shs Millions]",195.2,745.2
,"Value Increase in Agents Margins
[Shs. Millions]",17.8,67.9
