Group,"Carrying
amount",Fair value,Level 1,Level 2,Level 3
At 31 December 2019,"Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions"
,"86,434","86,434",-,-,"86,434"
,"21,573","19,811",-,"19,811",-
,"362,373","362,373",-,-,"362,373"
,19,19,-,-,19
,"8,358","8,358",-,-,"8,358"
,"478,757","476,995",-,"19,811","457,184"
,"482,752","482,752",-,-,"482,752"
,"56,714","56,714",-,-,"56,714"
,"7,496","7,496",-,-,"7,496"
,"12,865","12,865",-,-,"12,865"
,"559,827","559,827",-,-,"559,827"
