At 31 December 2014,10,"4,006",133,"2,133","5,701",64,-,"12,047"
Charge for the year-2015,7,"1,079",15,529,"1,642",25,-,"3,297"
"Transfers from intangible
assets (Note 15a)",-,-,-,-,75,-,-,75
Elimination of revaluation,79,-,-,-,-,-,-,79
Disposals,-,(11),-,(23),(27),-,-,(61)
At 31 December 2015,96,"5,074",148,"2,639","7,391",89,-,"15,437"
