At 31 December 2017,Column,Column,Column,Column,Column,Column
At 31 December,54%,40%,139%,54%,36%,104%
Average for the year,54%,45%,142%,55%,37%,121%
Maximum for the year,58%,62%,147%,62%,42%,128%
Minimum for the year,49%,30%,138%,39%,31%,113%
Minimum statutory requirement,20%,20%,20%,20%,20%,100%
