Group,"Carrying
amount",Fair value,Level 1,Level 2,Level 3
,"Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions"
At 31 December 2017,,,,,
"Balances and deposits due from financial
institutions","79,621","79,621",-,-,"79,621"
Investment securities – Held to maturity,"20,532","20,200",-,"20,200",-
Loans and advances,"273,922","273,922",-,-,"273,922"
Due from related parties,449,449,-,-,449
Other assets,"7,742","7,742",-,-,"7,742"
Total financial assets,"382,266","381,934",-,"20,200","361,734"
Deposits from customers,"373,143","373,143",-,-,"373,143"
Borrowed funds,"47,873","47,873",-,-,"47,873"
Other liabilities,"9,832","9,832",-,-,"9,832"
Total liabilities,"430,848","430,848",-,-,"430,848"
