Stage 1,Stage 2,Stage 3,Total
12-month ECL,Lifetime ECL,Lifetime ECL,
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ Millions
"599,576","97,118","58,665","755,359"
"(6,446)","(7,519)","(36,225)","(50,190)"
"593,130","89,599","22,440","705,169"
