Aspect,Strategic Pyramid,Strategic Pyramid Strategic Objectives,Achievements at at 2024
"Society and
Communities","Africa Recovery and
Resilience Plan","■ 100 million customers
■ 5 million borrowing business
■ 25 million borrowing customers
■ (cid:21)(cid:24) million direct (cid:77)obs","■ 21.6 million customers (19.6
million customers in 2023)
■ 0.3 million borrowing
businesses (0.3 million in
2023)
■ 0.81 million borrowing
customers (0.84 million in
2023)"
"Strategic
Pillars","Pillar 1a – Food and
Agriculture
(cid:51)illar (cid:20)b - E(cid:91)tractives
Pillar 2 – Manufacturing
and logistics
Pillar 3 – Trade and
investment
(cid:51)illar (cid:23) - (cid:48)S(cid:48)Es
Pillar 5 – Social
and Environmental
Transformation
(cid:51)illar (cid:25) (cid:176) (cid:55)echnolog(cid:92)-
enabled ecosystems","■ Food and Agriculture loan mix 30%
■ Catalyse other industries
manufacturing loan mix 15%
■ #1 Trade finance bank
■ MSME loan mix 65%
■ Financially include 100 million
■ Digitally connect 100 million","■ Food and Agriculture loan
mix 9% (5% in 2023)
■ Manufacturing loan mix
3.91% (5.1% in 2023)
■ Top 5 Trade Finance bank
■ MSME loan mix 41% (42.6%
in 2023)"
"Operational
Initiatives","Initiatives that internally
enable Equity to execute
its strategy","■ Cost-to-income (cid:23)(cid:19)(cid:8)
■ (cid:49)on-funded income (cid:24)(cid:19)(cid:8)
■ Top 3 banks (Countries 5 years)","■ Cost-to-income (cid:24)(cid:27)(cid:17)(cid:21)(cid:8) (cid:11)(cid:24)(cid:21)(cid:17)(cid:22)
in 2023)
■ (cid:49)on-funded income (cid:23)(cid:23)(cid:8) (cid:11)u(cid:83)
from 30% in 2023)
■ In 2024 Equity ranked among
the top 3 big banks by asset
base in 4 of the 6 countries of
operation"
