Performance,"2021
(Shs Millions)","2022
(Shs Millions)"
Total revenue,"9,236","11,559"
Customer deposits,"72,944","91,433"
Total assets,"89,966","112,151"
PBT,"3,614","2,396"
Other metrics,,
Customer numbers,"1,341,275","1,789,881"
Employee numbers,"1,154","1,430"
ATM’s,48,52
Branches,42,50
Agents,"5,572","7,727"
