2007,Column,2010,2013
PARAMETER,EBL SHARE,EBL SHARE,EBL SHARE
TOTAL NET ASSETS,5.59%,8.00%,8.80%
NET ADVANCES,4.41%,8.32%,9.92%
"CUSTOMER
DEPOSITS",4.44%,7.70%,8.20%
"CAPITAL AND
RESERVES",11.54%,10.60%,11.70%
PRE-TAX PROFITS,6.64%,12.54%,14.50%
