In millions of Kenya Shillings,Column,Column,Column,Column,Column,Column,Column
Cash and cash equivalents,"10,180","1,181","1,1",55 7,56,682,"13,261"
Loans and advances to customers,"66,583",5,,- -,-,-,"66,588"
Other assets,"1,044",95,,24 7,-,66,"1,236"
Total assets,"77,807","1,281","1,1",79 14,56,748,"81,085"
Customer deposits,"35,906",244,"1,1",36 1,-,441,"37,728"
Borrowed funds,"39,666",-,,6 -,-,127,"39,799"
Total liabilities,"75,572",244,"1,1",42 1,-,568,"77,527"
Net financial position,"2,235","1,037",,37 13,56,180,"3,558"
