Column,Strategic Pyramid,Strategic Objectives,Achievements
Strategy,"Africa recovery and
resilience plan","• 100 million customers
• 5 million borrowing
business
• 25 million borrowing
customers
• 25 million direct jobs","• 17.7 million customers (9% increase
from 2021)
• 265,868 borrowing businesses (106%
increase from 2021)
• 779,724 borrowing customers
(1% increase from 2021)"
"Strategic
Pillars","Pillar 1a – Food and
Agriculture
Pillar 1b – Extractives
Pillar 2 – Manufacturing
and logistics
Pillar 3 – Trade and
investment
Pillar 4 – MSMEs
Pillar 5 – Social
and Environmental
Transformation
Pillar 6 – Technology-
enabled ecosystems","• Food and Agriculture
loan mix 30%
• Catalyse other
industries
manufacturing loan
mix 15%
• #1 Trade finance bank
• MSME loan mix 65%
• Financially include 100
million
• Digitally connect 100
million","• Food and Agriculture loan mix 6.1%
(slightly higher than the 6% in 2021)
• Manufacturing loan mix 5.1% (up
from 3% in 2021)
• Top 5 Trade finance bank
• MSME loan mix 46.1% (down from
48% in 2021)
• Customers 17.7 million (up from 16.2
million in 2021)"
"Operational
Initiatives","Initiatives that internally
enable EGH to execute
its strategy","• Cost to income <40%
• Non-funded income
>50%
• Top 3 banks
(Countries> 5 years)","• Cost to income 48.4% (down from
49.1% in 2021)
• Non-funded income 40.4% (up from
38.8% in 2021)
• In 2022 Equity ranked among the top
3 big banks by Asset base in 3 of the
6 countries we operate in"
