Column,2018,2017
,Shs’ millions,Shs’ millions
Monetary liabilities at 1 January,"5,662","7,858"
Increase in net monetary liabilities during the year,"1,347",658
Monetary liabilities at 31 December,"7,009","8,516"
Restated monetary liabilities at 31 December,"(5,338)","(4,941)"
Gain on monetary liabilities (a),"1,671","3,575"
