Column,Column,Column,Column,Column,Column,Column,Column,Column,"EBKL
FY2023","EBKL
FY2024","EBCDC
FY2023",F,"E
Y","BC
20","D
2","C
4",Column,FY,G,"ro
20","up
23",Column,Column,FY,"Gr
2","o
0","up
24"
,,,,,,,,,13.2%,14.3%,10.0%,10.3%,,,,,,,1,2.,7%,,,,13,.3,%
,,,,,,,,,11.8%,11.9%,14.6%,13.9%,,,,,11.,,,,8%,,,,11,.8,%
,,,,,,,,,12.3%,12.4%,8.4%,7.6%,,,,,11.,,,,2%,,,,11,.4,%
,,,,,,,,,"3.8%
4.9%","5.1%
5.9%","1.5%
1.5%","1.9%
2.0%",,,,,"2.9
3.8",,,,"%
%",,,,"3
4",".7
.3","%
%"
,,,,,,,,,"7.4%
73.1%
48.6%","6.5%
70.1%
60.6%","6.9%
66.6%
55.4%","5.6%
67.1%
56.6%",,,,,"7.4
71.
52.",,,,"%
3%
3%",,,,"7
68
58",".1%
.7%
.2%",
,,,R,et,urn,o,nAverageEquity,,26.5%,20.2%,21.1%,22.7%,,,,,22.3%,,,,,,,,21,.5%,
,,,R,et,urn,o,n,AverageAssets,2.8%,2.4%,2.4%,2.6%,,,,,2.7%,,,,,,,2.8%,,,
Ass,et,Q,"ua
P","lit
AR",y,,,,14.4%,17.4%,6.6%,5.7%,,,,,11.7%,,,,,,12.2%,,,,
,,,C,ov,era,g,e,,62.8%,63.4%,87.3%,98.7%,,,,,67.3%,,,,,71.0%,,,,,
,,,C,os,to,f,Ris,k,5.1%,2.0%,2.8%,2.5%,,,,,4.4%,,,,,2.5%,,,,,
Lev,er,ag,e,,,,,,,,,,,,,,,,,,,,,,,,
,,,L,oa,n/,D,,,58.1%,50.2%,56.6%,50.2%,,,,,65.4%,,,,,58.5%,,,,,
Ca,pit,al,Ad,eq,ua,cyRa(cid:415)os,,,,,,,,,,,,,,,,,,,,,
,,,C,or,eCapitaltoRiskWeightedAssets,,,,14.2%,15.6%,11.0%,11.8%,,,,,14.3%,,,,,17.2%,,,,,
,,,,,,,,,18.8%,17.6%,12.5%,13.6%,,,,,18.1%,,,,,19.0%,,,,,
Liq,ui,dity,,,,,,,,,,,,,,,,,,,,,,,,,
,Liquidityra(cid:415)o,,,,,,,,67.4%,79.7%,132.5%,133.5%,,,,,53.4%,,,,,57.4%,,,,,
