Column,2018,2017
,"Shs’
millions","Shs’
millions"
Monetary assets at 1 January,"8,853","11,039"
Increase in net monetary assets during the year,"1,240","1,798"
Monetary assets at 31 December,"10,093","12,837"
Restated monetary assets at 31 December,"(8,182)","(7,816)"
Loss on monetary assets (b),"1,911","5,021"
Net monetary position loss (a - b),(240),"(1,446)"
