Group,Column,Bank,Column
2013,2012,2013,2012
,"45,134
135,692
41,101
2
7,243
55
1,457
-
9,072
292
1,415
887
820",,
"34,528",,"21,930",
"171,363",,"152,029",
"44,572",,"32,949",
122,,"1,063",
"11,149",,"9,167",
550,,470,
"1,574",,"1,113",
-,,"10,284",
"9,796",,"6,942",
180,,4,
"2,069",,"1,542",
887,,-,
939,,701,
"277,729","243,170","238,194",
,"167,913
2,365
3,369
26,569
38",,
"195,153",,"158,745",
64,,-,
"4,219",,"3,151",
"26,736",,"25,612",
2,,-,
"226,174","200,254","187,508",
,"1,851
12,161
25,088
(732)
603
(603)
32
(113)
4,629",,
"1,851",,"1,851",
"12,161",,"12,161",
"32,662",,"31,272",
(702),,(730),
753,,578,
(643),,-,
32,,-,
(113),,-,
"5,554",,"5,554",
"51,555","42,916","50,686",
"277,729","243,170","238,194",
