Performance,KShs million
Total revenue,"3,361"
Customer deposits,"20,724"
Total assets,"29,265"
PBT,"1,184"
Statistics,In absolute
Customer numbers,"506,580"
Employee numbers,677
ATM’s,35
Branches,33
Agents,405
