KESBillion Q12024,Q12025,Growth,"Q12025
ConstantCurrency",Growth
Assets,,,,
Cash&CashEquivalents 278.5,270.7,-3%,320.1,15%
GovernmentSecuri es 473.2,548.3,16%,567.9,20%
NetLoans 779.2,804.7,3%,833.4,7%
OtherAssets 155.0,125.5,-19%,129.6,-16%
"TotalAssets 1,685.9","1,749.2",4%,"1,851.0",10%
Liabili es&Capital,,,,
"Deposits 1,236.4","1,322.8",7%,"1,397.1",13%
BorrowedFunds 125.2,72.9,-42%,79.7,-36%
OtherLiabili es 105.5,88.8,-16%,97.6,-7%
Shareholders'Funds 218.8,264.7,21%,276.6,26%
"TotalLiabili es&Capital 1,685.9","1,749.2",4%,"1,851.0",10%
