Column,2015,2016,Column,Column,Column,QoQ,Column,Column,Column,YoY
Kshs Bn,Q4,Q1,Q2,Q3,Q4,"Q4 2015
vs
Q1 2016","Q1 2016
vs
Q2 2016","Q2 2016
vs
Q3 2016","Q3 2016
vs
Q4 2016","FY 2015
vs
FY 2016"
Interest income on loans,9.80,9.47,9.69,9.33,6.69,-3%,2%,-4%,-28%,7%
"Interest income inv. secs & others 1.29
Interest expenses (2.60)
Net interest income 8.50
Non interest income 3.88
Total income 12.38
Loan loss provision 0.13
Staff costs 1.54
Other operating expenses 4.19
Total expenses 5.86
Profit before tax 6.51
Tax (1.45)
Profit after tax 5.06",,"1.27
(1.79)","1.65
(2.05)","2.17
(2.05)","2.80
(2.11)","-2%
-31%","30%
15%","32%
0%","29%
3%","82%
3%"
,,"8.94
3.55","9.28
3.56","9.45
3.73","7.38
4.43","5%
-9%","4%
0%","2%
5%","-22%
19%","19%
0%"
,,"12.49
0.38
2.20
3.26","12.84
0.88
2.30
3.28","13.18
1.10
1.81
3.76","11.81
2.64
1.78
4.14","1%
191%
42%
-22%","3%
130%
5%
1%","3%
25%
-21%
15%","-10%
139%
-2%
10%","13%
293%
5%
8%"
,,5.83,6.47,6.68,8.56,0%,11%,3%,28%,23%
,,"6.65
(2.00)","6.38
(1.91)","6.51
(1.95)","3.24
(1.70)","2%
38%","-4%
-4%","2%
2%","-50%
-13%","2%
22%"
,,4.66,4.46,4.55,1.54,-8%,-4%,2%,-66%,-6%
