Stage 1,Stage 2,Stage 3,Total
12-month ECL,Lifetime ECL,Lifetime ECL,ECL
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions
"8,854","9,434","51,785","70,073"
"2,757","(2,229)",(528),-
(628),"1,453",(825),-
(179),"(3,111)","3,290",-
"(5,455)","(1,550)","26,101","19,096"
"4,227","5,512","13,854","23,593"
"(2,896)","(2,075)","(10,711)","(15,682)"
"(2,174)","(2,000)","31,181","27,007"
-,-,"(22,292)","(22,292)"
"6,680","7,434","60,674","74,788"
