Stage 1,Stage 2,Stage 3,Total
12-month ECL,Lifetime ECL,Lifetime ECL,
Shs’ millions,Shs’ millions,Shs’ millions,Shs millions
"749,450","98,566","107,123","955,139"
"15,939","(14,405)","(1,534)",-
"(27,994)","29,686","(1,692)",-
"(15,416)","(15,064)","30,480",-
"(81,608)","(11,840)","3,065","(90,383)"
"337,244","(16,369)","27,938","348,813"
"(263,795)","(3,469)","(55,648)","(322,912)"
"713,820","67,105","109,732","890,657"
