Group,Column,Bank
2012,2011,2012
,"12,834
1,583
162
63
(7)
1,630
(155)
(49)
763",
"17,420",,"16,060"
"2,016",,"1,734"
300,,284
(286),,(288)
(4),,(6)
"1,608",,"1,456"
(171),,-
(80),,-
"1,474",,"1,508"
"22,277","16,824","20,748"
,"(37,159)
(1,254)
2
39,734
(16)
(151)",
"(23,476)",,"(17,380)"
"(2,205)",,"(1,495)"
1,,-
"23,748",,"16,893"
122,,-
804,,573
"21,271","17,980","19,339"
,"(2,875)",
"(4,002)",,"(3,728)"
"17,269","15,105","15,611"
,"(2,225)
(473)
25
-
49
(22,546)
23,959",
"(3,782)",,"(2,236)"
(363),,(331)
27,,22
-,,"(1,532)"
80,,-
"(25,893)",,"(17,091)"
"15,625",,"14,829"
"14,306","(1,211)","(6,339)"
,"(2,962)
8,096
(1,267)
(763)",
"(3,703)",,(3703)
"13,581",,"13,745"
"(1,804)",,"(1,759)"
"(1,474)",,"(1,508)"
"6,600","3,104","6,775"
"9,563","16,998","16,047"
323,"(63)
(156)
18,503",290
(34),,-
"35,282",,"19,130"
"45,134","35,282","35,467"
