Financial assets,Column,Column,Column,Column,Column,Column
"Cash balances and deposits in
financial institutions","70,170",-,-,-,-,"70,170"
"Loans and advances to
customers","26,093","7,504","22,803","146,376","109,666","312,442"
Investment securities,"2,627","1,553","4,756","12,420","28,491","49,847"
Due from related parties,272,-,-,-,-,272
Accounts receivable,"5,900",-,-,-,-,"5,900"
Funds in clearing,"1,543",-,-,-,-,"1,543"
Total financial assets,"106,605",9.057,"27,559","158,796","138,157","440,174"
Financial liabilities,,,,,,
Deposits from customers,"134,172","10,152","22,829","177,601",20,"344,774"
Borrowed funds,"11,920",350,"4,453","24,488","7,376","48,587"
Other liabilities,42,-,-,525,-,567
Total financial liabilities,"146,134","10,502","27,282","202,614","7,396","393,928"
"Liquidity Gap at 31 December
2015","(39,529)","(1,445)",277,"(43,818)","130,761","46,246"
