Column,The risks and their impact,How we are responding
"Addressing
the challenges
and impacts of
COVID-19","COVID-19 poses a critical challenge for the way
we do business affecting both our operations and
customers. Inevitably, COVID-19 has also changed
the way banking and business is conducted posing
new challenges while also creating opportunities
for the Bank.","• Business Continuity Plan operationalised to ensure we sustain
operations without interruptions while protecting the health of
our stakeholders.
• We support our employees, enabling them work remotely and
ensuring high productivity.
• Client facing employees have been provided with a wide range
of protective equipment and clear guidelines to safeguard their
wellness.
• Distressed customers have been supported through varied
mechanism on a case-by-case basis enabling them to remain
operational in these challenging times.
• Regulator and government requirements and protocols have
been cascaded throughout the Bank.
• Providing COVID-19 awareness health education on prevention
measures and coping mechanisms to customers and staff
through our associate health franchise Equity Afia."
"Competition
and industry
disruption","Meeting customer needs with innovative solutions
and superior experiences is critical to maintaining
high-quality relationships with our customers.
As customer expectations continue to evolve,
competitors are finding alternative ways to deliver
financial services, and emerging technologies
present new sources of competitive advantage.
Failure to recognise and adapt to changing
competitive forces in a timely manner could erode
our earnings and our market position over the
long term.","• We actively monitor changes in customer preferences, products,
technologies and distribution channels and continuously
improve customer experiences with market leading innovation.
• We invest in people and key areas of technology capability that
are critical to our value proposition to customers, including
cyber-security, digital channels, data and analytics.
• We are investing in emerging technologies to ensure that the
way we operate and the solutions we provide to our customers
is industry leading.
• We invest in productivity to optimise our cost base and continue
to remain competitive for our customers."
"Business
resilience","The resilience and continuity of our operations
is critical to providing our customers with the
products, services and experiences that they
expect.
Events driven by our external environment,
including cyberattacks, political instability,
unfavourable business conditions and adverse
weather conditions can significantly disrupt the
systems and processes that enable us to serve
and protect our customers. Such disruptions can
affect our trusted relationships with customers,
our reputation, and our operating costs.","• We monitor the health of all systems and perform contingency
planning for disruptions to critical systems and processes.
• We are implementing a number of process and system
simplification initiatives through investments in agile capability,
automation and systems resilience.
• We are investing in our technology, processes and people
capabilities to mitigate the impact of cyber-security risks on
our businesses and customers.
• Group policies and standards on supplier governance, selection
and management and on outsourcing/offshoring are applied to
mitigate the risk and impact of third-party disruptions.
• We are improving partnership arrangements to drive greater
alignment between our business and technology partners to
ensure we remain agile in the face of change."
