Column,Shs ‘millions,Column,Column,Column,Column,Column
,EBKL,EBCL,EBTL,EBUL,EBRL,EBSSL
"31 December 2019
Risk Weighted Assets
Core Capital
Total Capital
Core capital / TRWA
Statutory minimum
Excess
Total capital / TRWA
Statutory minimum
Excess
Core capital / deposits
Statutory minimum
Excess
31 December 2018
Risk Weighted Assets
Core Capital
Total Capital
Core capital / TRWA
Statutory minimum
Excess
Total capital / TRWA
Statutory minimum
Excess
Core capital / deposits
Statutory minimum
Excess",,,,,,
,"475,760","46,258","20,766","39,515","18,943",732
,"63,434","7,273",887,"5,592","4,055","2,000"
,"83,704","7,273",910,"5,592","4,055","2,000"
,13.3%,15.7%,4.3%,14.2%,21.4%,273.2%
,10.5%,6.0%,12.5%,10.0%,10.0%,8.0%
,2.8%,9.7%,(8.2%),4.2%,11.4%,265.3%
,17.6%,15.7%,4.4%,14.2%,21.4%,273.2%
,14.5%,10.0%,14.5%,12.0%,15.0%,12.0%
,3.1%,5.7%,(10.1%),2.2%,6.4%,261.2%
,16.7%,11.4%,5.6%,16.2%,18.6%,38.5%
,10.5%,8.0%,8.0%,10.0%,8.0%,8.0%
,6.2%,3.4%,(2.4%),6.2%,10.6%,30.5%
,"400,289
55,864
55,864
15.3%
10.5%
4.8%
15.3%
14.5%
0.8%
17.9%
10.5%
7.4%","26,462
6,111
6,111
23.1%
8.0%
15.1%
23.1%
10.0%
13.1%
14.0%
8.0%
6.0%","20,805
2,217
2,795
10.7%
12.5%
(1.8%)
13.4%
14.5%
(1.1%)
13.6%
8.0%
5.6%","25,284
4,615
4,615
18.3%
10.5%
7.8%
18.3%
14.5%
3.8%
19.2%
8.0%
11.2%","17,952
3,390
3,390
18.9%
10.5%
8.4%
18.9%
14.5%
4.4%
16.8%
8.0%
8.8%","766
2,984
2,984
389.6%
10.5%
379.1%
389.6%
14.5%
375.1%
56.8%
8.0%
48.8%"
