Column,Software,Work in progress,Total
31 December 2019,Shs’ millions,Shs’ millions,Shs’ millions
,"12,200",633,"12,833"
,(173),(13),(186)
,679,520,"1,199"
,382,(382),-
,(133),-,(133)
,"12,955",758,"13,713"
,"5,470",-,"5,470"
,(143),-,(143)
,"1,266",-,"1,266"
,(124),-,(124)
,"6,469",-,"6,469"
,"6,486",758,"7,244"
